id,topic,topicUr,page
m38,To meet,ملنا,821
m39,"To join, mix, blend ",ملانا,823
m40,To turn your face away,منہ پھیرنا,826
m41,To agree,موافقت کرنا,827
m42,"To bend, turn",موڑنا,828
m43,Merciful,مہربان,828
m44,"To stamp, to put a seal",مہر لگانا,830
m45,"To give time, reprieve",مہلت دینا,830
m46,Visitor,مہمان,831
m47,Months,مہینے,832
m48,"Peg, nail",میخ,832
n1,To be hopeless,نا امید ہونا,834
n2,"Impure, polluted, ",ناپاک,835
n3,Disliked thing,ناپسندیدہ,836
n4,"Ignorant, naive",نادان,837
n5,Upset and angry,ناراضگی,838
n6,Ungrateful,ناشکرا,839
n7,To disobey,نافرمانی کرنا,839
n8,Nose,ناک,840
n9,"Name, to keep a name",نام - رکھنا,840
n10,Inauspicious,نامبارک,842
n11,To be liberated,نجات پانا,842
n12,Gifts and oblations,نذر و نیاز,843
n13,"To be soft, soften",نرم ہونا - کرنا,844
n14,"To be near, to make it close",نزدیک ہونا - کرنا,845
n15,sign,نشانی,847
n16,To place an emblem,نشان لگانا,850
n17,"Advice, to give , to attain",نصیحت – کرنا – حاصل کرنا,850
n18,"Grace, divine blessings",نعمت,852
n19,To give blessings,نعمت عطا کرنا,853
n20,"To have loss, incur loss",نقصان ہونا - اٹھانا,854
n21,"To marry, marry off",نکاح کرنا - کرانا,855
n22,To come out,نکلنا,856
n23,To take out,نکالنا,858
n24,"Glance, sight",نگاہ,858
n25,watchman,نگہبان,859
n26,To swallow,نگلنا,860
n27,To wash,نہانا -دھونا,862
n28,"No, nay",نہیں,862
n29,"New , to be fresh",نیا – نیا ہونا,864
n30,"Under, lowest",نیچے,865
n31,To lower,نیچے [پست ] کرنا,866
n32,"Pious, virtuous",نیک  نیکبخت,867
n33,"Good, piety",نیکی – نیک کام,869
n34,"To do good, ",نیکی کرنا,870
w1,plentiful,وافر- بہت,871
w2,The ones of/the people of ,والا-  والے,873
w3,inheritance,وراثت,874
w4,time,وقت,875
h1,"Hand, either right hand or left hand, arm",ہاتھ,878
h2,yes,ہاں,880
h3,To pant,ہانپنا,881
h4,To remove,ہٹانا,881
h5,"To receive guidance, to give guidance",ہدایت دینا پانا,883
h6,destruction,ہلاکت,884
h7,"To be perished, to destroy",ہلاک ہونا - کرنا,885
h8,"To be light(in weight), to make light",ہلکا ہونا - کرنا,888
h9,"To move, to shake ",ہلنا - ہلانا,889
h10,Congruence ,ہم آہنگی - ہونا,890
h11,To lose heart,ہمت ہارنا,892
h12,To make level,ہموار کرنا,892
h13,Always,ہمیشہ,893
h14,To remain always,ہمیشہ ہونا - رہنا,894
h15,To laugh,ہنسنا,896
h16,Wind  and its different types,ہوا اور اسکی اقسام,897
h17,To happen,ہونا,900
y1,or,یا,902
y2,To remember,یاد کرنا – آنا - رکھنا,902
y3,"To belief, to have faith",یقین کرنا,903
y4,To have complete devotion,یکسو ہونا,904
